record_id,datetime,year,month,day,hour,pm10,so2,no2,co,o3,temperature,pressure,dew_point,rain,wind_direction,wind_speed,pm25
32,2013-03-02 07:00:00,2013,3,2,7,11.0,34.0,58.0,500.0,27.0,-1.7,1029.8,-17.0,0.0,NE,1.2,3.0
33,2013-03-02 08:00:00,2013,3,2,8,7.0,21.0,49.0,500.0,43.0,-0.4,1029.6,-17.6,0.0,NE,1.8,3.0
34,2013-03-02 09:00:00,2013,3,2,9,14.0,47.0,62.0,700.0,29.0,0.6,1029.7,-16.7,0.0,NE,1.7,10.0
35,2013-03-02 10:00:00,2013,3,2,10,19.0,36.0,60.0,600.0,34.0,1.7,1028.9,-16.3,0.0,W,1.6,11.0
36,2013-03-02 11:00:00,2013,3,2,11,29.0,36.0,70.0,800.0,27.0,2.2,1028.2,-16.8,0.0,SSW,3.1,18.0
37,2013-03-02 12:00:00,2013,3,2,12,30.0,25.0,76.0,900.0,22.0,2.7,1027.3,-16.4,0.0,WSW,2.7,26.0
38,2013-03-02 13:00:00,2013,3,2,13,33.0,20.0,57.0,700.0,39.0,3.3,1025.7,-16.4,0.0,W,1.5,25.0
39,2013-03-02 14:00:00,2013,3,2,14,35.0,22.0,54.0,700.0,43.0,3.8,1024.8,-16.0,0.0,SE,1.3,26.0
40,2013-03-02 15:00:00,2013,3,2,15,40.0,24.0,55.0,700.0,44.0,3.9,1024.1,-16.5,0.0,WNW,1.2,37.0
41,2013-03-02 16:00:00,2013,3,2,16,46.0,29.0,63.0,1000.0,38.0,3.5,1023.6,-15.2,0.0,WSW,2.5,37.0
42,2013-03-02 17:00:00,2013,3,2,17,58.0,45.0,77.0,1200.0,30.0,2.2,1023.4,-13.6,0.0,SSE,0.4,44.0
43,2013-03-02 18:00:00,2013,3,2,18,79.0,50.0,80.0,1100.0,24.0,1.2,1023.2,-12.3,0.0,W,0.9,54.0
44,2013-03-02 19:00:00,2013,3,2,19,86.0,50.0,97.0,1300.0,10.0,1.5,1022.9,-13.8,0.0,NE,1.2,61.0
45,2013-03-02 20:00:00,2013,3,2,20,96.0,54.0,108.0,1399.0,2.0,1.2,1022.9,-14.1,0.0,NNE,1.2,67.0
46,2013-03-02 21:00:00,2013,3,2,21,103.0,72.0,107.0,1399.0,2.0,0.6,1022.6,-14.2,0.0,NE,1.3,74.0
47,2013-03-02 22:00:00,2013,3,2,22,113.0,84.0,110.0,1500.0,3.0,-0.6,1022.3,-13.9,0.0,NNE,1.4,81.0
48,2013-03-02 23:00:00,2013,3,2,23,120.0,87.0,107.0,1700.0,2.0,-0.8,1021.1,-13.4,0.0,N,1.3,93.0
49,2013-03-03 00:00:00,2013,3,3,0,130.0,73.0,100.0,1899.0,2.0,-1.4,1020.4,-13.0,0.0,NNE,1.2,112.0
50,2013-03-03 01:00:00,2013,3,3,1,132.0,80.0,101.0,2200.0,2.0,-2.0,1019.4,-13.2,0.0,NE,1.2,109.0
51,2013-03-03 02:00:00,2013,3,3,2,132.0,98.0,99.0,2399.0,2.0,-2.8,1018.3,-12.3,0.0,NE,1.4,110.0
52,2013-03-03 03:00:00,2013,3,3,3,129.0,88.0,100.0,2500.0,2.0,-2.6,1017.2,-13.2,0.0,NE,1.2,105.0
53,2013-03-03 04:00:00,2013,3,3,4,136.0,79.0,92.0,2799.0,2.0,-4.3,1016.9,-11.8,0.0,NNE,0.9,106.0
54,2013-03-03 05:00:00,2013,3,3,5,135.0,64.0,87.0,2399.0,2.0,-5.6,1016.3,-10.9,0.0,N,0.8,101.0
55,2013-03-03 06:00:00,2013,3,3,6,142.0,67.0,87.0,2100.0,2.0,-5.8,1016.2,-11.0,0.0,NNE,0.8,91.0
56,2013-03-03 07:00:00,2013,3,3,7,116.0,83.0,91.0,2000.0,2.0,-3.1,1016.5,-11.1,0.0,NE,1.5,79.0
57,2013-03-03 08:00:00,2013,3,3,8,110.0,123.0,90.0,2299.0,2.0,0.7,1016.2,-13.0,0.0,NNE,2.3,77.0
58,2013-03-03 09:00:00,2013,3,3,9,119.0,135.0,90.0,2600.0,3.0,3.5,1015.8,-13.8,0.0,NNE,0.4,83.0
59,2013-03-03 10:00:00,2013,3,3,10,122.0,116.0,90.0,1800.0,9.0,6.5,1014.9,-13.2,0.0,N,1.3,94.0
60,2013-03-03 11:00:00,2013,3,3,11,117.0,89.0,93.0,1600.0,14.0,11.4,1013.8,-10.8,0.0,ESE,0.9,96.0
61,2013-03-03 12:00:00,2013,3,3,12,108.0,77.0,99.0,1600.0,14.0,13.8,1012.5,-13.3,0.0,W,1.1,91.0
62,2013-03-03 13:00:00,2013,3,3,13,134.0,50.0,81.0,1200.0,33.0,16.0,1011.5,-13.5,0.0,W,5.9,98.0
63,2013-03-03 14:00:00,2013,3,3,14,106.0,31.0,57.0,900.0,51.0,16.7,1010.8,-14.0,0.0,WNW,4.3,72.0
64,2013-03-03 15:00:00,2013,3,3,15,114.0,14.0,17.0,500.0,77.0,16.9,1010.5,-12.7,0.0,WNW,2.0,48.0
65,2013-03-03 16:00:00,2013,3,3,16,100.0,12.0,17.0,400.0,77.0,16.4,1010.6,-15.4,0.0,NW,2.9,28.0
66,2013-03-03 17:00:00,2013,3,3,17,103.0,9.0,19.0,400.0,73.0,13.1,1011.1,-10.1,0.0,WSW,1.7,26.0
67,2013-03-03 18:00:00,2013,3,3,18,82.0,8.0,27.0,500.0,66.0,8.7,1012.3,-11.3,0.0,NW,1.6,24.0
68,2013-03-03 19:00:00,2013,3,3,19,71.0,26.0,98.0,1300.0,11.0,12.2,1013.4,-13.7,0.0,NNW,2.0,19.0
69,2013-03-03 20:00:00,2013,3,3,20,175.0,64.0,135.0,2000.0,4.0,11.7,1013.5,-12.6,0.0,N,0.9,60.0
70,2013-03-03 21:00:00,2013,3,3,21,181.0,28.0,100.0,1100.0,5.0,5.3,1013.6,-10.9,0.0,N,0.0,117.0
71,2013-03-03 22:00:00,2013,3,3,22,105.0,28.0,90.0,1200.0,2.0,3.1,1014.1,-10.2,0.0,NNE,1.8,54.0
72,2013-03-03 23:00:00,2013,3,3,23,94.0,29.0,84.0,1200.0,2.0,5.2,1014.8,-10.6,0.0,NNW,1.7,46.0
73,2013-03-04 00:00:00,2013,3,4,0,83.0,51.0,86.0,1300.0,4.0,7.7,1015.7,-11.1,0.0,N,2.6,42.0
74,2013-03-04 01:00:00,2013,3,4,1,80.0,39.0,64.0,1000.0,25.0,8.2,1016.7,-11.7,0.0,N,2.8,49.0
75,2013-03-04 02:00:00,2013,3,4,2,62.0,,14.0,300.0,68.0,8.1,1016.7,-11.8,0.0,N,4.3,34.0
76,2013-03-04 03:00:00,2013,3,4,3,34.0,6.0,12.0,,77.0,7.2,1016.9,-11.6,0.0,N,2.8,12.0
77,2013-03-04 04:00:00,2013,3,4,4,18.0,14.0,,400.0,42.0,6.0,1018.0,-11.6,0.0,NNW,1.0,7.0
78,2013-03-04 05:00:00,2013,3,4,5,24.0,18.0,45.0,400.0,40.0,2.7,1018.6,-10.9,0.0,SSE,0.5,10.0
79,2013-03-04 06:00:00,2013,3,4,6,32.0,24.0,65.0,500.0,22.0,3.8,1018.9,-11.4,0.0,N,2.3,13.0
80,2013-03-04 07:00:00,2013,3,4,7,36.0,30.0,70.0,600.0,17.0,6.5,1019.7,-10.7,0.0,N,2.3,14.0
81,2013-03-04 08:00:00,2013,3,4,8,35.0,38.0,70.0,700.0,21.0,9.0,1020.7,-12.2,0.0,NE,3.1,13.0
82,2013-03-04 09:00:00,2013,3,4,9,32.0,26.0,36.0,500.0,52.0,10.6,1020.8,-12.1,0.0,NNE,1.3,15.0
83,2013-03-04 10:00:00,2013,3,4,10,24.0,22.0,36.0,600.0,57.0,11.9,1020.4,-12.4,0.0,NE,2.1,16.0
84,2013-03-04 11:00:00,2013,3,4,11,33.0,18.0,27.0,400.0,68.0,13.1,1020.0,-13.0,0.0,NE,3.0,18.0
85,2013-03-04 12:00:00,2013,3,4,12,28.0,12.0,14.0,400.0,77.0,14.2,1018.9,-13.9,0.0,N,2.7,13.0
86,2013-03-04 13:00:00,2013,3,4,13,12.0,7.0,12.0,300.0,82.0,15.3,1017.8,-13.0,0.0,S,2.0,3.0
87,2013-03-04 14:00:00,2013,3,4,14,10.0,8.0,13.0,400.0,84.0,15.2,1017.0,-13.1,0.0,SW,0.7,3.0
88,2013-03-04 15:00:00,2013,3,4,15,13.0,9.0,15.0,400.0,84.0,15.3,1016.3,-13.0,0.0,SSW,2.4,10.0
89,2013-03-04 16:00:00,2013,3,4,16,20.0,10.0,34.0,500.0,70.0,14.5,1015.7,-13.7,0.0,S,2.6,14.0
90,2013-03-04 17:00:00,2013,3,4,17,33.0,14.0,40.0,500.0,78.0,12.7,1015.9,-11.8,0.0,SW,2.6,20.0
91,2013-03-04 18:00:00,2013,3,4,18,44.0,13.0,43.0,600.0,75.0,11.6,1016.5,-11.3,0.0,SSW,3.4,25.0
92,2013-03-04 19:00:00,2013,3,4,19,63.0,17.0,61.0,700.0,53.0,10.9,1016.6,-10.6,0.0,SW,3.5,31.0
93,2013-03-04 20:00:00,2013,3,4,20,84.0,18.0,76.0,800.0,40.0,9.9,1016.9,-10.3,0.0,SSW,3.1,34.0
94,2013-03-04 21:00:00,2013,3,4,21,85.0,40.0,76.0,800.0,39.0,8.4,1016.9,-10.0,0.0,SSW,2.1,40.0
95,2013-03-04 22:00:00,2013,3,4,22,91.0,46.0,85.0,1000.0,31.0,8.6,1016.3,-9.9,0.0,SSW,2.4,51.0
96,2013-03-04 23:00:00,2013,3,4,23,94.0,46.0,86.0,1100.0,84.0,7.7,1015.7,-9.3,0.0,SW,2.1,58.0
97,2013-03-05 00:00:00,2013,3,5,0,108.0,66.0,78.0,1100.0,84.0,4.7,1015.2,-9.1,0.0,SW,1.6,71.0
98,2013-03-05 01:00:00,2013,3,5,1,127.0,75.0,75.0,1200.0,84.0,1.1,1014.7,-7.9,0.0,SW,0.0,91.0
99,2013-03-05 02:00:00,2013,3,5,2,129.0,58.0,79.0,1200.0,84.0,-0.6,1014.4,-8.1,0.0,S,0.0,100.0
100,2013-03-05 03:00:00,2013,3,5,3,130.0,66.0,83.0,1399.0,84.0,0.2,1014.0,-8.8,0.0,NE,1.2,103.0
101,2013-03-05 04:00:00,2013,3,5,4,151.0,76.0,92.0,2299.0,84.0,1.8,1013.7,-9.5,0.0,NE,1.5,115.0
102,2013-03-05 05:00:00,2013,3,5,5,153.0,91.0,91.0,2399.0,84.0,0.6,1013.9,-9.4,0.0,N,0.8,117.0
103,2013-03-05 06:00:00,2013,3,5,6,145.0,94.0,89.0,2200.0,84.0,-0.2,1013.4,-8.6,0.0,NE,1.3,104.0
104,2013-03-05 07:00:00,2013,3,5,7,146.0,82.0,87.0,2299.0,84.0,2.9,1013.4,-9.1,0.0,NNE,1.3,106.0
105,2013-03-05 08:00:00,2013,3,5,8,147.0,101.0,87.0,2399.0,84.0,5.1,1013.4,-9.1,0.0,NNE,1.2,111.0
106,2013-03-05 09:00:00,2013,3,5,9,159.0,114.0,92.0,2899.0,84.0,7.7,1012.8,-8.4,0.0,NNE,1.5,114.0
107,2013-03-05 10:00:00,2013,3,5,10,177.0,107.0,104.0,2700.0,84.0,9.4,1012.0,-8.2,0.0,NE,1.5,131.0
108,2013-03-05 11:00:00,2013,3,5,11,184.0,109.0,115.0,2299.0,84.0,10.6,1011.1,-8.1,0.0,NNE,1.4,138.0
109,2013-03-05 12:00:00,2013,3,5,12,184.0,104.0,136.0,2299.0,15.0,11.9,1009.7,-7.5,0.0,NNW,1.3,142.0
110,2013-03-05 13:00:00,2013,3,5,13,193.0,94.0,147.0,2200.0,84.0,12.6,1008.5,-8.0,0.0,N,1.0,163.0
111,2013-03-05 14:00:00,2013,3,5,14,182.0,85.0,158.0,2100.0,84.0,13.5,1007.7,-7.8,0.0,NNE,1.4,168.0
112,2013-03-05 15:00:00,2013,3,5,15,171.0,85.0,172.0,2200.0,78.0,13.8,1007.2,-7.6,0.0,NE,1.2,165.0
113,2013-03-05 16:00:00,2013,3,5,16,186.0,97.0,194.0,2700.0,78.0,13.2,1007.1,-7.0,0.0,NE,2.0,166.0
114,2013-03-05 17:00:00,2013,3,5,17,218.0,101.0,204.0,2799.0,75.0,12.1,1007.7,-6.4,0.0,NNE,1.6,190.0
115,2013-03-05 18:00:00,2013,3,5,18,248.0,107.0,197.0,2500.0,53.0,9.0,1008.2,-5.7,0.0,NE,1.4,203.0
116,2013-03-05 19:00:00,2013,3,5,19,255.0,103.0,188.0,2200.0,40.0,5.3,1008.5,-4.8,0.0,ESE,0.0,210.0
117,2013-03-05 20:00:00,2013,3,5,20,244.0,106.0,189.0,2500.0,39.0,3.3,1008.7,-4.7,0.0,N,0.2,205.0
118,2013-03-05 21:00:00,2013,3,5,21,252.0,93.0,178.0,3100.0,31.0,2.9,1009.0,-4.6,0.0,NNE,1.2,215.0
119,2013-03-05 22:00:00,2013,3,5,22,253.0,92.0,169.0,3200.0,29.0,5.2,1008.9,-6.1,0.0,NE,1.1,219.0
120,2013-03-05 23:00:00,2013,3,5,23,269.0,147.0,184.0,4400.0,29.0,4.9,1008.4,-6.1,0.0,NE,1.4,226.0
121,2013-03-06 00:00:00,2013,3,6,0,315.0,133.0,174.0,4000.0,28.0,4.9,1008.5,-6.4,0.0,NE,1.2,284.0
122,2013-03-06 01:00:00,2013,3,6,1,300.0,131.0,166.0,4000.0,22.0,4.8,1008.3,-5.9,0.0,NE,1.5,272.0
123,2013-03-06 02:00:00,2013,3,6,2,265.0,109.0,146.0,3200.0,22.0,4.1,1007.8,-5.9,0.0,NE,1.9,242.0
124,2013-03-06 03:00:00,2013,3,6,3,229.0,90.0,141.0,2600.0,22.0,4.0,1007.6,-6.3,0.0,NE,1.9,212.0
125,2013-03-06 04:00:00,2013,3,6,4,203.0,83.6808,140.4252,,22.0,3.9,1007.3,-6.1,0.0,NE,1.4,192.0
126,2013-03-06 05:00:00,2013,3,6,5,194.0,92.0,143.0,2500.0,22.0,4.1,1007.8,-5.7,0.0,NE,1.6,188.0
127,2013-03-06 06:00:00,2013,3,6,6,194.0,94.0,131.0,2600.0,22.0,4.5,1008.4,-5.3,0.0,NE,2.0,186.0
128,2013-03-06 07:00:00,2013,3,6,7,196.0,92.0,129.0,2700.0,22.0,5.7,1009.3,-5.0,0.0,NE,1.7,188.0
129,2013-03-06 08:00:00,2013,3,6,8,205.0,102.0,113.0,2500.0,22.0,6.6,1009.3,-4.8,0.0,NE,1.7,194.0
130,2013-03-06 09:00:00,2013,3,6,9,198.0,98.0,102.0,2399.0,22.0,7.5,1009.1,-4.6,0.0,NE,1.7,184.0
131,2013-03-06 10:00:00,2013,3,6,10,198.0,107.0,103.0,2600.0,22.0,8.7,1008.6,-4.5,0.0,NE,1.5,175.0
132,2013-03-06 11:00:00,2013,3,6,11,212.0,119.0,105.0,2399.0,22.0,10.1,1007.7,-4.7,0.0,NE,1.4,179.0
133,2013-03-06 12:00:00,2013,3,6,12,219.0,124.0,113.0,2299.0,22.0,11.1,1006.9,-4.2,0.0,ENE,0.4,192.0
134,2013-03-06 13:00:00,2013,3,6,13,233.0,126.0,136.0,2700.0,22.0,12.6,1005.8,-3.7,0.0,WSW,1.5,201.0
135,2013-03-06 14:00:00,2013,3,6,14,265.0,130.0,146.0,2799.0,14.0,14.5,1005.5,-3.3,0.0,SSE,1.6,230.0
136,2013-03-06 15:00:00,2013,3,6,15,277.0,140.0,157.0,2899.0,10.0,14.7,1005.5,-3.2,0.0,SSW,2.5,246.0
137,2013-03-06 16:00:00,2013,3,6,16,285.0,154.0,146.0,2799.0,17.0,14.2,1005.5,-3.2,0.0,S,1.4,248.0
138,2013-03-06 17:00:00,2013,3,6,17,276.0,145.0,171.0,3200.0,17.0,11.6,1005.9,-3.4,0.0,SSW,1.1,230.0
139,2013-03-06 18:00:00,2013,3,6,18,291.0,142.0,177.0,3500.0,17.0,6.8,1006.8,-2.9,0.0,WSW,0.9,239.0
140,2013-03-06 19:00:00,2013,3,6,19,338.0,124.0,164.0,3700.0,17.0,5.1,1007.6,-2.5,0.0,WSW,1.2,242.0
141,2013-03-06 20:00:00,2013,3,6,20,396.0,107.0,154.0,4200.0,17.0,4.4,1008.2,-2.5,0.0,SSW,1.1,254.0
142,2013-03-06 21:00:00,2013,3,6,21,380.0,117.0,159.0,3799.0,17.0,3.8,1007.7,-2.2,0.0,WSW,1.9,266.0
143,2013-03-06 22:00:00,2013,3,6,22,335.0,111.0,148.0,4099.0,17.0,2.4,1007.3,-2.5,0.0,WSW,1.2,254.0
144,2013-03-06 23:00:00,2013,3,6,23,360.0,119.0,145.0,4000.0,17.0,2.3,1007.2,-2.4,0.0,NNE,1.3,260.0
145,2013-03-07 00:00:00,2013,3,7,0,319.0,102.0,139.0,4000.0,17.0,1.5,1007.1,-2.6,0.0,NNE,0.8,250.0
146,2013-03-07 01:00:00,2013,3,7,1,297.0,91.0,127.0,4000.0,17.0,0.7,1007.1,-2.7,0.0,SE,1.2,240.0
147,2013-03-07 02:00:00,2013,3,7,2,294.0,83.0,133.0,4000.0,17.0,1.5,1006.9,-2.5,0.0,NNE,0.6,238.0
148,2013-03-07 03:00:00,2013,3,7,3,293.0,86.0,121.0,4099.0,17.0,0.3,1006.5,-2.7,0.0,WNW,1.7,243.0
149,2013-03-07 04:00:00,2013,3,7,4,304.0,57.0,113.0,5000.0,17.0,-0.9,1006.4,-3.3,0.0,N,0.5,246.0
150,2013-03-07 05:00:00,2013,3,7,5,337.0,46.0,103.0,5599.0,17.0,1.6,1006.7,-1.5,0.0,NNE,1.7,275.0
151,2013-03-07 06:00:00,2013,3,7,6,366.0,41.0,114.0,5700.0,17.0,0.3,1006.6,-2.7,0.0,SW,0.4,306.0
152,2013-03-07 07:00:00,2013,3,7,7,374.0,46.0,124.0,4599.0,17.0,2.4,1006.8,-1.4,0.0,NNE,1.5,320.0
153,2013-03-07 08:00:00,2013,3,7,8,344.0,78.0,106.0,3700.0,17.0,8.3,1006.5,-1.0,0.0,NNE,0.8,292.0
154,2013-03-07 09:00:00,2013,3,7,9,282.0,182.0,116.0,3299.0,17.0,10.1,1006.1,-0.7,0.0,W,0.6,251.0
155,2013-03-07 10:00:00,2013,3,7,10,255.0,166.0,135.0,3200.0,17.0,12.7,1005.5,-1.6,0.0,ENE,1.2,228.0
156,2013-03-07 11:00:00,2013,3,7,11,255.0,169.0,171.0,4000.0,17.0,16.5,1003.6,-1.6,0.0,WSW,1.7,217.0
157,2013-03-07 12:00:00,2013,3,7,12,311.0,154.0,201.0,4000.0,17.0,17.1,1001.6,-3.1,0.0,SSW,3.7,255.0
158,2013-03-07 13:00:00,2013,3,7,13,283.0,111.0,226.0,3700.0,17.0,17.7,1000.2,-3.2,0.0,SW,3.1,258.0
159,2013-03-07 14:00:00,2013,3,7,14,284.0,102.0,167.0,2899.0,39.0,18.3,998.6,-3.2,0.0,SSW,3.6,277.0
160,2013-03-07 15:00:00,2013,3,7,15,326.0,79.0,130.0,2399.0,61.0,18.6,997.6,-1.8,0.0,SSW,3.3,282.0
161,2013-03-07 16:00:00,2013,3,7,16,310.0,62.0,97.0,1899.0,80.0,17.9,997.2,-0.9,0.0,SW,1.9,267.0
162,2013-03-07 17:00:00,2013,3,7,17,257.0,64.0,86.0,1600.0,84.0,15.4,997.1,-1.7,0.0,NNW,1.4,216.0
163,2013-03-07 18:00:00,2013,3,7,18,255.0,76.0,125.0,1899.0,84.0,14.4,997.4,-2.5,0.0,N,1.9,201.0
164,2013-03-07 19:00:00,2013,3,7,19,287.0,79.0,173.0,2399.0,10.0,13.4,997.9,-2.6,0.0,NNE,1.5,211.0
165,2013-03-07 20:00:00,2013,3,7,20,298.0,99.0,207.0,3399.0,84.0,11.8,997.7,-2.1,0.0,NE,1.5,227.0
166,2013-03-07 21:00:00,2013,3,7,21,377.0,114.0,213.0,4000.0,84.0,9.2,997.9,-1.3,0.0,NNE,1.4,282.0
167,2013-03-07 22:00:00,2013,3,7,22,452.0,126.0,210.0,4000.0,84.0,7.5,998.3,-1.2,0.0,NE,1.3,363.0
168,2013-03-07 23:00:00,2013,3,7,23,426.0,128.0,209.0,3799.0,84.0,6.6,998.4,-0.9,0.0,E,0.1,376.0
169,2013-03-08 00:00:00,2013,3,8,0,389.0,107.0,195.0,3799.0,84.0,4.1,998.2,-1.3,0.0,ESE,0.0,344.0
170,2013-03-08 01:00:00,2013,3,8,1,370.0,90.0,177.0,4099.0,84.0,3.3,998.5,-1.7,0.0,N,0.9,339.0
171,2013-03-08 02:00:00,2013,3,8,2,400.0,,162.0,3899.0,84.0,2.5,998.2,-1.9,0.0,SW,0.8,339.0
172,2013-03-08 03:00:00,2013,3,8,3,373.0,71.0,154.0,,84.0,1.8,997.9,-1.8,0.0,N,0.0,324.0
173,2013-03-08 04:00:00,2013,3,8,4,345.0,62.0,,3299.0,84.0,1.3,998.5,-1.8,0.0,W,1.0,322.0
174,2013-03-08 05:00:00,2013,3,8,5,346.0,47.0,144.0,3200.0,84.0,1.4,999.0,-1.5,0.0,SW,0.8,315.0
175,2013-03-08 06:00:00,2013,3,8,6,327.0,45.0,146.0,3299.0,84.0,1.1,999.7,-1.8,0.0,WSW,0.8,310.0
176,2013-03-08 07:00:00,2013,3,8,7,318.0,44.0,145.0,4099.0,84.0,5.7,1000.4,0.5,0.0,NNE,1.0,309.0
177,2013-03-08 08:00:00,2013,3,8,8,337.0,88.0,137.0,4900.0,84.0,10.9,1000.8,1.4,0.0,SE,0.7,310.0
178,2013-03-08 09:00:00,2013,3,8,9,371.0,144.0,149.0,5200.0,84.0,16.9,1001.1,-0.4,0.0,E,1.0,326.0
179,2013-03-08 10:00:00,2013,3,8,10,844.0,125.9496,179.2269,,84.0,19.1,1000.9,-0.4,0.0,SSW,1.9,326.0
180,2013-03-08 11:00:00,2013,3,8,11,362.0,83.0,160.0,3100.0,84.0,20.5,1000.5,-3.3,0.0,SSW,4.4,219.0
181,2013-03-08 12:00:00,2013,3,8,12,194.0,37.0,101.0,1399.0,84.0,21.7,999.4,-2.3,0.0,S,3.0,104.0
182,2013-03-08 13:00:00,2013,3,8,13,225.0,40.0,96.0,1300.0,84.0,22.5,998.2,-2.3,0.0,S,3.3,121.0
183,2013-03-08 14:00:00,2013,3,8,14,348.0,49.0,104.0,1800.0,84.0,17.4,998.3,1.4,0.0,ESE,4.5,184.0
184,2013-03-08 15:00:00,2013,3,8,15,508.0,102.0,139.0,3600.0,84.0,13.9,999.5,1.2,0.0,ESE,2.7,330.0
185,2013-03-08 16:00:00,2013,3,8,16,284.0,84.0,84.0,1700.0,84.0,11.9,1000.2,0.0,0.0,ESE,2.6,172.0
186,2013-03-08 17:00:00,2013,3,8,17,181.0,68.0,68.0,1100.0,68.0,10.3,999.9,-0.5,0.0,SE,2.8,114.0
187,2013-03-08 18:00:00,2013,3,8,18,128.0,55.0,63.0,900.0,68.0,9.3,1000.6,-0.9,0.0,S,1.4,82.0
188,2013-03-08 19:00:00,2013,3,8,19,123.0,46.0,73.0,1100.0,68.0,8.0,1000.5,-0.3,0.0,NE,0.8,84.0
